endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1552469117.902	333	139	111	11043	isSuccessful	200
1552469118.107	204	73	304	9394	isSuccessful	200
1552469118.132	12789	73	69	6951	isSuccessful	200
1552469118.400	568	138	105	10995	isSuccessful	200
1552469118.694	10984	74	69	6951	isSuccessful	200
1552469118.843	144	142	108	11019	isSuccessful	200
1552469118.882	482	76	274	9394	isSuccessful	200
1552469118.921	77	75	286	9396	isSuccessful	200
1552469119.168	1036	140	112	11051	isSuccessful	200
1552469119.285	15664	74	69	6951	isSuccessful	200
1552469119.377	208	76	302	9396	isSuccessful	200
1552469119.428	141	138	112	11051	isSuccessful	200
1552469120.033	605	74	283	9396	isSuccessful	200
1552469120.328	11881	74	69	6951	isSuccessful	200
1552469120.605	275	143	107	11011	isSuccessful	200
1552469121.007	400	75	289	9398	isSuccessful	200
1552469121.270	10742	138	69	6951	isSuccessful	200
1552469121.307	15565	74	69	6951	isSuccessful	200
1552469121.602	15111	139	69	6951	isSuccessful	200
1552469121.938	335	139	111	11043	isSuccessful	200
1552469122.132	15155	75	69	6951	isSuccessful	200
1552469122.146	208	77	287	9394	isSuccessful	200
1552469122.185	17901	76	69	6951	isSuccessful	200
1552469122.272	964	138	109	11027	isSuccessful	200
1552469122.303	1030	203	112	11051	isSuccessful	200
1552469122.407	273	141	109	11027	isSuccessful	200
1552469122.416	228	139	114	11067	isSuccessful	200
1552469122.484	211	79	284	9396	isSuccessful	200
1552469122.549	141	75	281	9396	isSuccessful	200
1552469122.573	13080	346	69	6951	isSuccessful	200
1552469122.599	294	76	302	9396	isSuccessful	200
1552469122.792	375	77	289	9394	isSuccessful	200
1552469122.804	228	139	105	10995	isSuccessful	200
1552469123.143	337	78	283	9396	isSuccessful	200
1552469124.995	12769	76	69	6951	isSuccessful	200
1552469125.140	141	141	115	11075	isSuccessful	200
1552469125.544	403	141	301	9394	isSuccessful	200
1552469125.638	16361	77	69	6951	isSuccessful	200
1552469125.972	333	138	112	11051	isSuccessful	200
1552469126.179	206	75	306	9396	isSuccessful	200
1552469127.593	16901	73	69	6951	isSuccessful	200
1552469127.918	323	134	117	11091	isSuccessful	200
1552469128.118	199	71	308	9394	isSuccessful	200
1552469128.966	12468	73	69	6951	isSuccessful	200
1552469129.372	18204	73	69	6951	isSuccessful	200
1552469129.525	18081	77	69	6951	isSuccessful	200
1552469129.586	610	135	113	11059	isSuccessful	200
1552469129.633	260	134	110	11035	isSuccessful	200
1552469129.671	10293	73	69	6951	isSuccessful	200
1552469129.770	136	73	298	9394	isSuccessful	200
1552469129.786	199	73	290	9396	isSuccessful	200
1552469129.831	12457	74	69	6951	isSuccessful	200
1552469129.937	263	137	115	11075	isSuccessful	200
1552469130.011	73	71	292	9396	isSuccessful	200
1552469130.133	14841	77	69	6951	isSuccessful	200
1552469130.156	323	135	114	11067	isSuccessful	200
1552469130.196	670	135	108	11019	isSuccessful	200
1552469130.354	198	73	303	9396	isSuccessful	200
1552469130.648	514	198	112	11051	isSuccessful	200
1552469130.665	469	72	285	9396	isSuccessful	200
1552469130.721	19902	74	69	6951	isSuccessful	200
1552469130.907	16449	75	69	6951	isSuccessful	200
1552469130.974	325	135	280	9394	isSuccessful	200
1552469131.232	324	133	111	11043	isSuccessful	200
1552469131.237	14439	74	69	6951	isSuccessful	200
1552469131.361	22353	75	69	6951	isSuccessful	200
1552469131.518	11483	75	69	6951	isSuccessful	200
1552469131.920	680	136	109	11027	isSuccessful	200
1552469132.179	258	71	298	9394	isSuccessful	200
1552469132.180	659	135	110	11035	isSuccessful	200
1552469132.211	1489	135	114	11067	isSuccessful	200
1552469132.383	203	73	283	9396	isSuccessful	200
1552469132.401	1166	75	291	9394	isSuccessful	200
1552469132.742	531	73	286	9398	isSuccessful	200
1552469132.978	1614	136	110	11035	isSuccessful	200
1552469133.178	199	73	289	9396	isSuccessful	200
